YY  MM DD hhmm     LAT      LON WDIR WSPD GST   PRES   ATMP  WTMP  DEWP  WVHT  DPD
2022 08 26 1430   25.91   -89.62 169  1.6  1.9 1016.2   29.5  30.5  24.1   0.4    4
2022 08 26 1530   25.91   -89.63 140  1.2  1.6 1016.7   29.7  30.7  23.6   0.4    4
2022 08 26 1630   25.90   -89.65 150  2.0  2.5 1016.5   29.6  31.0  23.6   0.4    4
2022 08 26 1730   25.89   -89.67 105  3.0  3.4 1016.2   29.4  31.3  24.6   0.3    4
2022 08 26 1830   25.86   -89.70 104  2.9  3.1 1015.6   29.5  31.5  24.5   0.3    4
2022 08 26 1930   25.84   -89.73 105  2.9  3.1 1015.3   29.6  31.4  24.2   0.3    4
2022 08 26 2030   25.84   -89.74  98  2.5  2.8 1014.4   29.7  31.6  24.0   0.3    4
2022 08 26 2130   25.83   -89.75  87  1.4  1.7 1014.4   29.7  31.5  24.5   0.3    5
2022 08 26 2230   25.84   -89.76 101  5.6  6.0 1014.3   28.7  31.2  24.0   0.3    5
2022 08 26 2330   25.84   -89.76 123  3.2  3.5 1014.7   28.8  30.9  23.9   0.4    3
2022 08 27 0030   25.84   -89.77  89  3.6  4.1 1014.9   28.9  30.9  24.6   0.3    4
2022 08 27 0130   25.84   -89.79  79  2.4  2.5 1015.3   29.2  30.9  24.3   0.3    5
2022 08 27 0230   25.84   -89.81 129  3.0  3.3 1015.5   29.4  30.8  24.3   0.3    5
2022 08 27 0330   25.84   -89.81 130  3.9  4.8 1015.7   29.4  30.8  24.8   0.3    4
2022 08 27 0430   25.84   -89.81 134  4.4  4.8 1015.5   29.6  30.7  25.4   0.3    4
2022 08 27 0630   25.85   -89.80 123  5.5  6.1 1014.3   29.5  30.5  25.3   0.3    4
2022 08 27 0730   25.85   -89.79 132  4.4  5.1 1013.9   29.4  30.4  24.9   0.3    4
2022 08 27 0830   25.85   -89.79 129  4.6  5.2 1013.9   29.3  30.4  25.1   0.3    4
2022 08 27 0930   25.86   -89.79 143  6.0  6.4 1013.9   29.5  30.3  25.2   0.3    4
2022 08 27 1030   25.86   -89.79 115  3.2  3.7 1013.6   29.4  30.3  24.8   0.4    4
2022 08 27 1130   25.86   -89.79 107  3.1  3.4 1014.3   29.4  30.2  24.4   0.4    4
2022 08 27 1230   25.86   -89.80 119  2.7  3.0 1014.5   29.6  30.1  23.8   0.3    4
2022 08 27 1330   25.86   -89.80 125  5.1  5.8 1015.0   29.7  30.2  24.9   0.3    4
2022 08 27 1430   25.88   -89.79 208  4.1  5.1 1015.3   25.9  30.1  22.8   0.4    3
2022 08 27 1530   25.89   -89.79 225  5.0  5.4 1016.0   28.0  30.1  23.0   0.4    4
2022 08 27 1630   25.91   -89.78 256 13.3 14.9 1016.1   26.0  30.1  23.7   0.4    4
2022 08 27 1730   25.93   -89.77 231  4.4  5.4 1016.3   25.2  30.0  23.3   0.7    4
2022 08 27 1830   25.94   -89.76 315  5.1  5.9 1014.2   25.8  30.0  23.1   0.7    4
2022 08 27 1930   25.94   -89.76  82  3.1  3.6 1013.3   26.1  29.9  23.2   0.5    4
